宫/B 寒/M 月/B 经/M 过/M 少/M 吃/B 什/M 么/M 药/B
毛/B 虫/M 咬/B 后/B 胳/B 膊/M 麻/B ,/B 关/B 节/M 疼/B
气/B 管/M 镜/M 能/B 治/B 疗/M 肺/B 结/M 核/M 吗/B ?/B
氨/B 咖/M 黄/M 敏/M w/B a/M p/M b/M a/M i/M k/M e/M ./M b/M a/M i/M d/M u/M ./M c/M o/M m/M
氯/B 溴/B 酸/M 右/B 美/M 沙/M 芬/M 片/B 哺/B 乳/M
汝/B 州/M 中/B 医/M 院/M 有/B 膀/B 胱/M 镜/M 吗/B ?/B
江/B 中/M 小/B 儿/M 健/B 胃/M 消/M 食/M 片/M 2/B 岁/M
江/B 阴/M 市/M 南/B 闸/M 医/B 院/M 袁/B 建/M 华/M
汤/B 臣/M 倍/M 健/M 维/B 生/M 素/M b/B 怎/B 么/M 吃/B
汤/B 臣/M 倍/M 健/M 维/B 生/M 素/M c/B 好/B 不/M 好/M
汽/B 车/M 工/B 厂/M 中/B 3/B 大/B 有/B 害/M 因/B 素/M
沈/B 阳/M 哪/B 家/B ?/B 看/B 孩/B 子/M 近/B 视/M 好/B
沈/B 阳/M 知/B 名/M 度/M 较/B 好/M 的/B 医/B 院/M ?/B
沙/B 棘/M 油/M 能/B 治/B 股/B 骨/M 头/M 坏/M 死/M ?/B
没/B 事/M 吃/B 点/B 去/B 火/M 得/B 药/B 好/B 吗/B ?/B
没/B 到/B 姨/B 妈/M ,/B 没/B 有/M 血/B 是/B 干/B 的/B
河/B 南/M 省/M 妇/B 幼/M 医/B 院/M 公/B 交/M 车/M
治/B 狐/B 臭/M 上/B 海/M 那/B 家/B 医/B 院/M 好/B ?/B
治/B 疗/M 白/B 巅/B 病/B 最/B 好/M 的/B 医/B 院/M
治/B 疗/M 宫/B 颈/M 糜/M 烂/M 3/B 度/B 多/B 少/M 钱/B
治/B 疗/M 腰/B 椎/M 间/M 盘/M 突/M 出/M 经/B 期/M
治/B 疗/M 青/B 春/M 痘/M 姜/B 片/M 有/B 效/M 吗/B ?/B
治/B 癣/B 药/B 水/M ,/B 味/B 道/M 像/B 消/B 毒/M 水/M
洋/B 葱/M 和/B 萝/B 卜/M 能/B 一/B 起/M 吃/B 吗/B ?/B
洗/B 完/M 牙/M 后/B 1/B 个/B 月/B 牙/B 龈/M 出/M 血/M
流/B 产/M 了/B ,/B 阴/B 道/M 炎/B 症/M 怎/B 么/M 办/M
流/B 产/M 后/B 老/B 是/M 出/B 汗/M 怎/B 么/M 办/M -/B
浑/B 身/M 出/B 阁/M 的/B ,/B 忒/B 痒/B 咋/B 回/M 事/M
浑/B 身/M 感/B 觉/M 有/B 虫/B 子/M 爬/B 螨/B 虫/M
浑/B 身/M 没/B 劲/M 乏/B 力/M 感/B 觉/M 很/B 弱/B
浑/B 身/M 累/B ,/B 耳/B 后/B 淋/B 巴/M 结/M 发/B 炎/M
浸/B 润/M 性/B 乳/B 腺/M 癌/M 1/B 级/B 治/B 愈/M 率/M
涂/B 了/B 脚/B 趾/M 甲/B 卸/B 掉/B 有/B 白/B 点/M
涂/B 抹/M 维/B 生/M 素/M e/B 可/B 以/M 祛/B 斑/M 吗/B
淄/B 博/M 灰/B 指/M 甲/M 医/B 院/M 哪/B 家/B 好/B
淋/B 巴/M 细/M 胞/M 百/B 分/M 比/M 偏/B 高/M 4/B 2/M ./M 3/M
淋/B 巴/M 结/M 边/B 界/M 清/B 晰/M 可/B 移/B 动/M
淋/B 病/M 好/B 了/B ,/B 但/B 是/M 硬/B 不/B 起/B 来/M
淮/B 南/M 定/B 点/M 医/M 疗/M 机/M 构/M 编/B 码/M
游/B 完/M 泳/M 腿/B 发/B 麻/M 怎/B 么/M 回/M 事/M ?/B
溃/B 疡/M 性/M 口/B 腔/M 炎/M 喝/B 少/B 量/M 酒/B
溶/B 脂/M 针/M 瘦/B 脸/M 需/B 要/M 打/B 几/B 针/B ?/B
滕/B 州/M 市/M 内/B 科/M 门/B 诊/M 大/B 大/B 全/M
满/B 月/M 后/B 宝/B 宝/M 打/B 预/M 防/M 针/M 黄/B
滨/B 海/M 新/M 区/M 圣/B 爱/B 医/B 院/M 人/B 流/M
滴/B 虫/M 性/M 阴/M 道/M 炎/M a/B b/M c/M 护/B 理/M 液/M
滴/B 虫/M 性/M 阴/M 道/M 炎/M 宫/B 颈/M 迷/B 烂/B 3/B
澳/B 洲/M 9/B 个/B 月/B 大/B 幼/B 儿/M 保/B 健/M 品/M
激/B 素/M 替/M 代/M 疗/M 法/M 前/B 列/M 腺/M 癌/M
烤/B 瓷/M 牙/M 和/B 金/B 属/M 牙/B 哪/B 个/M 好/B ?/B
烧/B 退/B 不/B 掉/B 怎/B 么/M 办/M 一/B 个/M 月/M
烫/B 伤/M 痒/B 用/B 盐/B 水/M 洗/B 可/B 以/M 吗/B ?/B
焦/B 虑/M ,/B 肚/B 子/M 不/B 舒/M 服/M 怎/B 么/M 办/M
熬/B 中/B 药/M 有/B 淫/B 羊/M 藿/M ,/B 怎/B 么/M 煎/B
父/B 亲/M a/B 型/M 血/M 孩/B 子/M 什/B 么/M 血/B 型/M
父/B 母/M 梦/B 想/M 对/B 孩/B 子/M 的/B 影/B 响/M
牙/B x/B 光/M 片/M 多/B 长/M 时/M 间/M 出/B 结/B 果/M
牙/B 床/M 疼/B 怎/B 么/M 办/M 立/B 刻/M 止/B 疼/B
牙/B 神/B 经/M 挖/B 空/M 了/B 不/B 补/B 牙/M 行/B ?/B
牙/B 齿/M 一/B 直/M 过/B 敏/M 抽/B 神/B 经/M 么/B ?/B
牙/B 龈/M 肿/B 要/B 做/B 翻/B 拌/B 手/B 朮/B 吗/B ?/B
牛/B 奶/M 和/B 馒/B 头/M 能/B 一/B 起/M 吃/B 吗/B ?/B
特/B 纳/M 综/B 合/M 征/M 4/B 5/M x/M o/M 什/B 么/M 意/B 思/M
狂/B 犬/M 疫/M 苗/M 多/B 少/M 钱/B 2/B 0/M 1/M 6/M 合/B 肥/M
献/B 血/M 之/B 前/B 可/B 以/M 吃/B 玉/B 米/M 吗/B ?/B
玟/B 瑰/B 糠/B 疹/M 吃/B 些/B 啥/B 水/B 果/M 好/B ?/B
现/B 在/M 屁/B 股/M 疼/B ,/B 跳/B 起/M 来/M 就/B 疼/B
珍/B 珠/M 丘/B 疹/M 还/B 可/B 以/M 做/B 爱/M 吗/B ?/B
瑞/B 云/M 堂/M 灵/B 芝/M 破/B 壁/M 孢/B 子/M 粉/M
甘/B 油/M 三/M 酯/M 3/B ./M 2/M 3/M 需/B 要/M 吃/B 药/M 吗/B
甘/B 油/M 磷/B 酸/M 钙/M 天/B 津/M 太/B 平/M 洋/M
生/B 姜/M 放/B 枕/B 边/M ,/B 有/B 什/B 么/M 好/B 处/M
生/B 完/B 宝/B 宝/M 胎/B 盘/M 怎/B 么/M 处/B 理/M
生/B 小/M 孩/M ,/B 一/B 般/M 用/B 几/B 人/B 接/B 生/M
生/B 物/M 电/M 对/B 风/B 湿/M 病/M 有/B 用/M 吗/B ?/B
用/B 芝/B 麻/M 可/B 以/M 腌/B 制/M 鸭/B 蛋/M 吗/B ?/B
用/B 药/M 洗/B 阴/B 道/M 月/B 经/M 提/B 前/M 了/B ?/B
甲/B 状/M 腺/M 结/M 节/M 甲/B 状/M 腺/M 阴/B 影/M
甲/B 醛/M 吸/B 多/B 了/B 造/B 成/M 肺/B 炎/M 嘛/B !/B
申/B 丽/M 宝/M 促/B 排/B 基/B 础/M 卵/B 泡/M 2/B 个/B
男/B c/B 1/M 4/M 多/B 久/M 后/B 可/B 以/M 要/B 小/B 孩/M
男/B 下/B 体/M 瘙/B 痒/M ,/B 是/B 什/M 么/M 原/B 因/M
男/B 人/M 吃/B 鹅/B 蛋/M 有/B 什/B 么/M 好/B 处/M ?/B
男/B 性/M b/B 超/M 是/B 检/B 查/M 脱/B 裤/M 子/M 吗/B
男/B 性/M 能/B 得/B 人/B 头/M 乳/B 病/B 毒/M 吗/B ?/B
疙/B 瘩/M 小/B 泡/M 黑/B 点/M 疼/B 屁/B 股/M
疱/B 疹/M 性/M 咽/B 炎/M 是/B 手/B 足/M 口/M 吗/B ?/B
痛/B 风/M 的/B 人/B 可/B 以/M 吃/B 麦/B 片/M 吗/B ?/B
痰/B 检/M 正/B 常/M 有/B 可/B 能/M 是/B 肺/B 癌/M
痰/B 热/M 清/M 治/B 疗/M 发/B 热/M 可/B 以/M 吗/B ?/B
癫/B 痫/M 孕/B 期/M 能/B 检/B 查/M 出/B 来/M 吗/B ?/B
白/B 云/M 山/M 8/B 分/B 钟/M 医/B 用/M 退/B 热/M 贴/M
白/B 云/M 山/M 金/B 戈/M 影/B 响/M 生/M 育/M 吗/B ?/B
白/B 带/M 像/B 豆/B 腐/M 渣/M 臭/B 鸡/M 蛋/M 味/B
白/B 癜/M 风/M 可/B 以/M 吃/B 白/B 芝/M 麻/M 吗/B ?/B
白/B 癜/M 风/M 可/B 以/M 吃/B 维/B 生/M 素/M b/B 吗/B
白/B 细/M 胞/M 高/B 是/B 细/B 菌/M 感/M 染/M 么/B ?/B
百/B 科/M 方/B 宫/B 瘤/B 清/B 9/B 片/B 多/B 少/M 钱/B
百/B 顺/M 的/B 蛇/B 胆/M 陈/M 皮/M 液/B 好/B 吗/B ?/B
皮/B 肤/M 不/B 光/B 滑/M 吃/B 什/M 么/M 较/B 好/M
皮/B 肤/M 过/M 敏/M 能/B 吃/B 黑/B 布/M 林/M 吗/B ?/B
盐/B 酸/M 克/M 林/M 霉/M 素/M ,/B 阿/B 莫/M 西/M 林/M
直/B 肠/M 癌/M 做/B 化/B 疗/M 嘴/B 里/M 起/B 泡/M ,/B
省/B 中/B 医/M 大/B 学/M 城/M 分/B 院/M 电/B 话/M
省/B 立/M 同/B 德/M 医/B 院/M 不/B 孕/M 不/M 育/M
看/B 到/M 没/B 有/M 长/B 阴/B 毛/M 的/B 好/B 吗/B ?/B
眼/B 药/M 水/M 滴/B 下/M 脸/B 上/M 两/B 道/B 痕/B
眼/B 角/M 缝/B 3/B 针/B 手/B 术/M 费/M 多/B 少/M 钱/B
睡/B 一/M 觉/M 起/B 来/M 耳/B 朵/M 堵/B 住/M 了/B
睡/B 一/B 觉/B 醒/M 来/B 腿/B 疼/M ,/B 脚/B 踝/M 肿/B
睡/B 下/B 起/B 来/M 头/B 晕/M ,/B 四/B 肢/M 无/M 力/M
睡/B 前/M 吃/B 多/B 第/B 二/M 天/M 会/B 口/B 臭/M ?/B
睡/B 眠/M 不/B 好/M ,/B 牙/B 龈/M 会/B 流/B 血/M 吗/B
睡/B 觉/M 出/B 汗/M ,/B 可/B 是/M 觉/B 得/M 很/B 冷/B
睡/B 觉/M 排/B 水/M 和/B 囊/B 肿/M 有/B 关/M 吗/B ?/B
睡/B 觉/M 突/B 然/M 头/B 晕/M 天/B 旋/M 地/M 转/M
硫/B 糖/M 铝/M 混/B 悬/M 凝/B 胶/M 药/B 百/B 度/M
磷/B 酸/M 奥/B 司/M 他/M 韦/M 颗/B 粒/M 6/B 个/B 月/B
磷/B 霉/M 素/M 钠/M 1/B 岁/B 小/B 孩/M 能/B 用/B 吗/B
祁/B 玉/B 娟/M 青/B 海/M 省/M 人/B 民/M 医/M 院/M
神/B 经/M 炎/M ,/B 神/B 经/M 痛/M 用/B 什/B 么/M 药/B
私/B 处/M 手/B 术/M 造/B 口/M 换/B 药/M 会/B 痛/B ?/B
私/B 处/M 长/B 了/B 个/B 疙/B 瘩/M 很/B 疼/B 女/B
移/B 值/B 后/B 十/B 天/M 可/B 以/M 开/B 车/M 吗/B ?/B
移/B 植/M 1/B 4/M 天/B 血/B 值/B 8/B 7/M ./M 2/M 9/M 怎/B 么/M 办/M
移/B 植/M 冻/B 胚/M 9/B 细/B 胞/M 的/B 成/B 功/M 率/M
移/B 植/M 囊/B 胚/M 后/B 第/B 几/B 天/M 测/B 的/B ?/B
穿/B 山/M 甲/M 的/B 肉/B 有/B 什/B 么/M 功/B 效/M ?/B
突/B 然/M 有/B 狐/B 臭/M 是/B 怎/B 么/M 回/M 事/M ?/B
类/B 似/M 皮/B 炎/M 平/M 的/B 药/B 有/B 哪/B 些/M ?/B
类/B 风/B 湿/M 关/M 节/M 炎/M 臂/B 丛/M 神/B 经/M
精/B 子/M 活/B 力/M 多/B 少/M 属/B 于/M 正/M 常/M ?/B
精/B 液/M 浓/B 度/M 差/B 也/B 能/B 怀/B 孕/M 吗/B ?/B
精/B 神/M 病/M 人/B 员/M 的/B 登/B 记/M 划/B 分/M ?/B
精/B 跑/B 多/B 了/B ,/B 骨/B 头/M 空/B 咱/B 回/B 事/M
糖/B 化/M 血/M 红/M 蛋/M 白/M h/B b/M a/M 1/M c/M 结/B 果/M 3/B 7/M
糖/B 尿/M 病/M 人/M 可/B 以/M 喝/B 青/B 汁/M 吗/B ?/B
糖/B 尿/M 病/M 人/M 吃/B 苦/B 荞/M 面/B 好/B 吗/B ?/B
糖/B 尿/M 病/M 人/M 吃/B 饺/M 子/M 那/B 种/M 好/B ?/B
糖/B 尿/M 病/M 人/M 能/B 吃/B 弥/B 猴/M 桃/M 吗/B ?/B
糖/B 尿/M 病/M 人/M 能/B 吃/B 松/B 花/M 蛋/M 吗/B ?/B
糖/B 尿/M 病/M 人/M 能/B 吃/B 青/B 稞/M 面/B 吗/B ?/B
糖/B 尿/M 病/M 可/B 以/M 喝/B 纯/B 牛/M 奶/M 吗/B ?/B
糖/B 尿/M 病/M 晚/B 上/M 能/B 喝/B 牛/M 奶/M 吗/B ?/B
系/B 统/M 性/M 红/M 斑/M 狼/M 疮/M 肾/B 炎/M 2/B 期/B
系/B 统/M 性/M 红/M 斑/M 狼/M 疮/M 遗/B 传/M 吗/B ?/B
系/B 统/M 超/B 声/M 检/M 查/M 什/B 么/M 时/M 候/M
红/B 十/M 字/M 妇/B 产/M 医/M 院/M 免/B 费/M b/B 超/M
红/B 核/M 洗/B 液/M 必/B 须/M 要/B 用/B 7/B 天/B 嘛/B
红/B 细/M 胞/M 增/B 高/M ,/B 血/B 红/M 蛋/M 白/M 高/B
纹/B 唇/B 牙/B 套/M 是/B 一/B 次/M 性/M 的/B 吗/B ?/B
纹/B 眉/M 影/B 响/M 准/B 备/M 要/B 宝/B 宝/M 么/B ?/B
练/B 针/B 灸/M 先/B 扎/B 什/B 么/M 东/B 西/M 啊/B ?/B
细/B 菌/M 不/B 进/B 入/M 血/B 液/M ,/B 只/B 有/M 其/B
经/B 常/M 便/B 血/M ,/B 肛/B 门/M 隐/B 隐/M 做/B 痛/B
经/B 常/M 做/B 爱/M 月/B 经/M 会/B 推/B 迟/M 吗/B ?/B
经/B 常/M 杵/B 着/B 脸/B ,/B 腮/B 帮/M 子/M 变/B 大/B
经/B 常/M 用/B 手/B 触/B 摸/M 乳/B 房/M 好/B 吗/B ?/B
经/B 常/M 胸/B 口/M 疼/B ,/B 检/B 查/M 心/B 跳/M 慢/B
经/B 斯/B 后/B 斯/B 同/B 房/M 会/B 怀/B 孕/M 吗/B ?/B
经/B 期/M 偶/B 尔/M 提/B 前/M 5/B 天/B 要/B 紧/M 吗/B
经/B 期/M 可/B 否/M 服/B 知/B 柏/M 地/M 黄/M 丸/M ?/B
绒/B 毛/M 膜/M 促/B 性/M 腺/M 激/M 素/M 1/B 0/M 9/M 1/M ./M 0/M 0/M
给/B 处/B 女/M 用/B 什/B 么/M 催/B 情/M 药/M 好/B ?/B
维/B 生/M 素/M b/M 1/M 和/B b/B 6/M 能/B 一/B 起/M 吃/B 吗/B
维/B 生/M 素/M b/B 是/B 天/B 然/M 还/B 是/M 合/B 成/M
维/B 生/M 素/M c/B 哪/B 里/M 了/B 可/B 以/M 买/B 到/M
维/B 生/M 素/M c/B 在/B 心/B 肌/M 炎/M 的/B 计/B 量/M
维/B 生/M 素/M c/B 每/B 天/M 摄/B 入/M 量/M 美/B 容/M
维/B 生/M 素/M d/B 和/B 锌/B 能/B 一/B 起/M 喝/B 吗/B
维/B 生/M 素/M d/B 滴/B 剂/M 是/B 鱼/B 肝/M 油/M 吗/B
维/B 生/M 素/M e/B 怎/B 么/M 往/B 眉/B 毛/M 上/B 涂/B
维/B 生/M 素/M e/B 涂/B 脸/B 上/M 能/B 祛/B 斑/M 吗/B
维/B 生/M 素/M e/B 的/B 调/B 节/M 内/B 分/M 泌/M 吗/B
维/B 生/M 素/M e/B 里/B 面/M 含/B 有/M 孕/B 酮/M 吗/B
罗/B 兰/M 贝/M 格/M 公/B 立/M 医/B 院/M 创/B 新/M
老/B 人/M 关/B 节/M 肿/B 是/B 怎/B 么/M 回/M 事/M ,/B
老/B 人/M 总/B 是/M 特/B 别/M 爱/B 孙/B 辈/M 吗/B ?/B
老/B 人/M 用/B 药/M 过/B 多/B ,/B 黄/B 疸/M 偏/B 高/M
老/B 公/M 尖/B 锐/M 湿/M 疣/M 同/B 一/B 张/B 床/B
老/B 公/M 藏/B 孩/B 子/M ,/B 怎/B 样/M 抢/B 回/B 来/M
老/B 婆/M 怀/B 孕/M 6/B 个/B 月/B 了/B 能/B 做/B 吗/B
老/B 是/M 因/B 为/M 头/B 发/M 少/B 不/B 开/B 心/M
耳/B 朵/M 总/B 觉/B 得/M 绷/B 得/M 紧/B 耳/B 鸣/M
肇/B 庆/M 肤/B 康/B 中/B 医/M 院/M 可/B 信/M 吗/B
肉/B 膜/B 薄/B 吃/B 什/M 么/M 能/B 长/B 起/B 来/M ?/B
肚/B 子/M 上/B 涨/M ,/B 有/B 黑/B 色/M 分/B 泌/M 物/M
肚/B 子/M 容/B 易/M 饿/B 胃/B 里/M 空/B 空/M 的/B
肚/B 子/M 左/B 边/M 痛/B 是/B 怎/B 么/M 回/M 事/M ?/B
肚/B 子/M 疼/M 吹/B 口/B 烟/B 就/B 不/B 疼/B 了/B ?/B
肚/B 子/M 胀/B 气/M 能/B 用/B 开/B 塞/M 露/M 吗/B ?/B
肚/B 子/M 饿/M 的/B 很/B 快/M 是/B 为/B 什/M 么/M ?/B
肚/B 脐/M 眼/M 老/B 是/M 觉/B 得/M 进/B 凉/B 风/M ?/B
肛/B 周/M 脓/M 肿/M 会/B 对/B 称/M 出/B 现/M 吗/B ?/B
肛/B 泰/M 栓/M 可/B 以/M 行/B 走/M 坐/B 立/M 吗/B
肛/B 裂/M 手/B 术/M 1/B 2/M 天/B ,/B 有/B 些/M 干/B 澡/B ,/B
肛/B 门/M 外/B 长/B 瘘/B 管/M ,/B 排/B 便/M 出/B 血/M
肛/B 门/M 有/B 一/B 圈/B 肉/B 有/B 压/B 迫/M 感/B
肝/B 功/M 能/M 异/B 常/M ,/B 不/B 治/M 怎/B 么/M 办/M
肝/B 是/B 6/B 段/B 囊/B 肿/M 要/B 注/B 意/M 什/B 么/M
肝/B 胆/M 胰/M 脾/B b/B 超/M 下/B 午/M 能/B 做/B 吗/B
肝/B 胆/M 胰/M 脾/B 彩/B 超/M 包/B 括/M 肾/B 吗/B ?/B
肝/B 跟/B 小/B 腿/M 浮/B 肿/M 有/B 关/M 系/M 吗/B ?/B
肠/B 胀/B 气/M 是/B 怎/B 么/M 回/M 事/M ,/B 需/B 西/B
肩/B 周/M 炎/M 会/B 引/M 起/M 液/B 窝/B 痛/B 吗/B ?/B
肩/B 膀/M 后/B 面/M 疼/B ,/B 一/B 呼/B 吸/M 都/B 疼/B
肺/B 栓/M 塞/M d/B 二/B 聚/M 体/M 为/B 什/M 么/M 高/B
肺/B 气/B 不/B 足/M 是/B 先/B 天/M 不/M 足/M 吗/B ?/B
肺/B 癌/M 晚/B 期/M 扩/B 散/M ,/B 身/B 体/M 发/B 抖/M
肺/B 结/M 核/M 的/B 结/B 节/M 会/B 消/B 失/M 吗/B ?/B
肺/B 结/M 核/M 能/B 工/B 作/M 吗/B 办/B 公/M 室/M
肺/B 结/B 节/M 术/B 后/B 吃/B 羊/B 肉/M 行/B 吗/B ?/B
肾/B 炎/M 患/B 者/M 能/B 吃/B 雪/B 莲/M 果/M 吗/B ?/B
肾/B 盂/M 积/B 液/M 会/B 引/M 起/M 腰/B 疼/M 吗/B ?/B
肾/B 离/B 开/M 身/B 体/M b/B 超/M 能/B 看/B 见/M 不/B
肾/B 结/M 石/M 体/B 外/M 碎/B 石/M 疼/B 不/B 疼/B ?/B
肾/B 结/M 石/M 老/B 是/M 痛/B 怎/B 么/M 回/M 事/M ?/B
胃/B 不/B 好/M ,/B 经/B 常/M 恶/B 心/M 怎/B 么/M 吃/B
胃/B 不/B 好/M 可/B 以/M 吃/B 酸/B 东/B 西/M 吗/B ?/B
胃/B 疼/M ,/B 躺/B 着/M 好/B 疼/B 坐/B 着/B 不/B 疼/B
胃/B 胀/M 晚/B 上/M 不/B 能/M 睡/B 三/B 年/M 了/B
胃/B 胀/M 气/M 可/B 能/M 是/B 卵/B 巢/M 癌/M 吗/B ?/B
胃/B 胀/M 消/B 化/M 不/M 良/M 会/B 发/B 胖/M 吗/B ?/B
胆/B 囊/M 炎/M 早/B 晨/M 起/M 来/M 会/B 疼/B 吗/B ?/B
胆/B 固/M 醇/M 高/B 吃/B 什/M 么/M 药/B 最/B 好/M ./B
胆/B 息/M 肉/M 的/B 症/B 状/M m/B ./M 1/M 2/M 0/M a/M s/M k/M ./M c/M o/M m/M
胆/B 石/M 利/M 通/M 适/B 用/M 人/M 群/M 包/B 括/M ?/B
胆/B 管/M 结/M 石/M 手/B 术/M t/B 管/B 引/B 流/M 术/B
胆/B 结/M 石/M 微/B 创/M 手/M 术/M 5/B 个/B 小/B 时/M
胎/B 儿/M 侧/B 脑/B 宽/B 度/M 9/B ./M 6/M 左/B ,/B 右/B 6/B ./M 7/M
胎/B 儿/M 水/B 肿/M 特/B 纳/M 氏/B 综/B 合/M 症/M
胎/B 盘/M 2/B 级/B 一/B 般/M 在/B 几/B 周/B 正/B 常/M
胎/B 盘/M 着/B 床/M 于/B 前/B 壁/M 胎/B 盘/M 0/B 级/B
胰/B 岛/M 素/M 高/B 吃/B 什/M 么/M 东/B 西/M 好/B ?/B
胶/B 白/B 能/M 跟/B 豆/B 腐/M 一/B 起/M 吃/B 吗/B ?/B
胸/B 片/M 一/B 年/M 拍/B 3/B 次/B 有/B 危/B 害/M 吗/B
脊/B 椎/M 病/M 和/B 心/B 脏/M 有/B 联/B 系/M 吗/B ?/B
脊/B 髓/M 脊/B 膜/B 膨/B 是/B 什/M 么/M 样/B 子/M ?/B
脑/B 出/M 血/M ,/B 经/B 常/M 稀/B 里/M 糊/M 涂/M 的/B
脑/B 出/M 血/M 术/B 后/B 容/B 易/M 恢/B 复/M 么/B ?/B
脑/B 梗/M 塞/M 病/B 人/M 的/B 脚/B 不/B 能/M 凉/B ?/B
脖/B 子/M 一/B 动/B 后/B 背/M 痛/B m/B ./M 1/M 2/M 0/M ./M n/M e/M t/M
脖/B 子/M 后/B 面/M 的/B 肉/B 痣/M 能/B 去/B 吗/B ?/B
脖/B 子/M 长/B 淋/B 巴/M 去/B 那/B 里/M 看/B 好/B ?/B
脚/B 后/M 跟/M 靠/B 脚/B 心/B 疼/M 咋/B 回/M 事/M ?/B
脚/B 大/B 拇/M 指/M 僵/B 硬/M ,/B 抬/B 不/B 起/B 来/M
脚/B 趾/M 甲/B 有/B 黑/B 斑/M 黑/B 色/M 素/M 瘤/M
脸/B 上/M 老/B 起/B 痘/B 痘/M 怎/B 么/M 回/M 事/M ?/B
脸/B 部/M 靠/B 耳/B 朵/M 处/B 疼/B 睾/B 丸/M 疼/B
脾/B 湿/B 是/B 不/M 是/M 容/B 易/M 长/B 痘/B 痘/M ?/B
腋/B 下/M 红/B 褐/M 色/M 一/B 块/B 一/B 块/B 的/B
腋/B 窝/M 下/B 有/B 肉/B 疙/B 瘩/M 快/B 1/B 年/B 啦/B
腋/B 窝/M 下/B 长/B 红/B 色/M 小/B 点/M ,/B 很/B 痒/B
腮/B 腺/M 淋/B 巴/M 结/M 绿/B 豆/M 大/B ,/B 不/B 消/M
腰/B 两/B 侧/M 疼/B ,/B 又/B 不/B 是/M 很/B 厉/M 害/M
腰/B 后/B 背/M s/B i/M t/M e/M :/B i/B a/M s/M k/M ./M s/M i/M n/M a/M ./M c/M o/M m/M ./M c/M n/M
腰/B 椎/M 间/M 盘/M 突/M 出/M 脊/B 髓/M 受/B 损/M
腰/B 疼/M 和/B 要/B 生/B 了/B 有/B 关/M 系/M 吗/B ?/B
腰/B 疼/M 脖/B 子/M 疼/B 是/B 怎/B 么/M 回/M 事/M ?/B
腱/B 鞘/M 襄/B 肿/B 有/B 没/M 有/M 恶/B 性/M 的/B ?/B
腹/B 胀/M 和/B 大/B 三/M 阳/M 有/B 关/M 系/M 吗/B ?/B
腹/B 透/M 患/B 者/M 为/B 什/M 么/M 会/B 猝/B 死/M ?/B
腹/B 部/M 手/B 术/M 几/B 天/M 可/B 拨/B 尿/B 管/M :/B
腿/B 每/B 天/M 都/B 酸/B 困/M ,/B 怎/B 么/M 回/M 事/M
腿/B 痒/B ,/B 一/B 抓/B 就/B 起/B 一/B 片/B 疙/B 瘩/M
膏/B 子/M 中/B 药/M 能/B 放/B 冰/B 箱/M 里/B 吗/B ?/B
自/B 己/M 做/B 爱/M 会/B 不/M 会/M 怀/B 孕/M 的/B ?/B
自/B 己/M 做/M 的/B 酵/B 素/M 可/B 以/M 喝/B 吗/B ?/B
自/B 己/M 量/B 的/B 葡/B 萄/M 酒/M 能/B 喝/B 吗/B ?/B
舌/B 头/M 上/B 全/B 是/B 红/B 点/M ,/B 还/B 麻/B 木/M
舌/B 头/M 发/B 白/B ,/B 表/B 层/M 有/B 小/B 点/B 点/M
色/B 差/M b/B 值/B 偏/B 低/M 是/B 什/M 么/M 原/B 因/M
艾/B 叶/M 和/B 酒/B 怎/B 么/M 泡/B ,/B 怎/B 么/M 用/B
艾/B 叶/M 水/B 洗/M 阴/B 部/M 煮/B 水/B 用/B 量/M
艾/B 滋/M 病/M 6/B 个/B 月/B 后/B 检/B 测/M 为/B 阴/B
艾/B 滋/M 病/M 一/B 个/M 月/M 会/B 有/B 炎/B 症/M ?/B
芒/B 果/M 干/M ,/B 柠/B 檬/M 干/B 能/B 减/B 肥/M 吗/B
苯/B 扎/M 氯/M 铵/M 溶/B 液/M 0/B ./M 1/M %/M 怎/B 么/M 用/B
茨/B 榆/M 坨/M 能/B 做/B 四/B 维/M 彩/M 超/M 么/B ?/B
荆/B 条/M 蜜/B 来/B 姨/B 妈/M 可/B 以/M 喝/B 吗/B ?/B
药/B 流/B 产/M 掉/B 出/B 来/M 什/B 么/M 东/B 西/M
药/B 流/M 后/B 2/B 天/B 了/B 肚/B 子/M 偶/B 尔/M 疼/B
药/B 用/M 维/B 生/M 素/M e/B 可/B 以/M 美/B 容/M 吗/B
营/B 养/M 不/B 好/M 会/B 影/B 响/M 头/B 疼/M 吗/B ?/B
葡/B 萄/M 和/B 奶/B 能/B 一/B 起/M 食/B 用/M 吗/B ?/B
葡/B 萄/M 糖/M 酸/M 钙/M 维/B 生/M 素/M c/B 过/B 敏/M
葡/B 萄/M 酸/B 锌/M 钙/B 口/B 服/M 液/M 孕/B 妇/M
蚂/B 蚁/M 泡/B 酒/M 加/B 冰/B 糖/M 可/B 以/M 不/B ?/B
蚊/B 香/M 起/B 白/B 霉/B 了/B 还/B 能/M 用/B 吗/B ?/B
蚕/B 豆/M 病/M 属/B 于/M 隐/B 性/M 疾/B 病/M 么/B ?/B
蛋/B 黄/M 很/B 红/B 什/B 么/M 原/B 因/M ,/B 视/B 频/M
蛛/B 网/M 膜/M 下/M 腔/M 出/M 血/M 找/B 对/M 象/M
蜂/B 蜜/M 水/B 三/B 天/M 了/B 还/B 能/M 和/B 吗/B ?/B
